Domaine;Produit;Entreprise;Année(s) de stage(s);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rue de l'entreprise;Ville de l'entreprise;Code postal de l'entreprise;Tel entreprise;Site web;Longitude Latitude;Plus Code;Directeur;;;;Mél(s);;Rang A et i;Entreprise et Rang A et i;Rang  i;Entreprise et  Rang  i;2030;2029;2028;2027;2026;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;Points A  et  i;Points  i;;;A;B;C;D;E;;;F;G;H;I;J
Alimentaire;fromagerie;GAEC des Tilleuls;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24 Grande rue;Marolles Les Bailly;10100;06 86 72 00 93;https://maliceetfromageblanc.fr/;48.186500588786295, 4.349400815476413;;;;;;;;42;N° 42 GAEC des Tilleuls;65;N° 65 GAEC des Tilleuls;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;Boulangerie;PAIN GOURMAND;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8, Boulevard Goerges Pompidou;Troyes;10000;03 25 49 97 55;https://fr.linkedin.com/in/frederic-amiot-487000144;48.28671894658467, 4.079085980556557;;;;;;;;42;N° 42 PAIN GOURMAND;65;N° 65 PAIN GOURMAND;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;Fruits et Légumes;COOPERATIVE DE FRUITS & LEGUMES DES P.O.;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZA rue Henri MARCHAL;SAINT-HYPPOLYTE;65510;04 68 59 59 59;https://www.teraneo.eu/fr;42.774457343222586, 2.9597828127105457;;;;;;;;42;N° 42 COOPERATIVE DE FRUITS & LEGUMES DES P.O.;65;N° 65 COOPERATIVE DE FRUITS & LEGUMES DES P.O.;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Cosmétique;Cosmétiques & parfums;Christian DIOR;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;185 avenue de Verdun;SAINT JEAN DE BRAYE;45800;02 38 60 30 30;https://www.linkedin.com/company/parfums-christian-dior;47.92687770846521, 1.9896248984419156;;;;;;;;42;N° 42 Christian DIOR;65;N° 65 Christian DIOR;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;fromagerie;NOUVELLE FROMAGERIE DE VAUDES;";2022=1  ; 2020=1  ; 2018=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Grande Rue;Vaudes;10260;03 25 40 92 33;https://fr.linkedin.com/company/nouvelle-fromagerie-de-vaudes;48.17420979961018, 4.1957788960244935;;;;;;;;8;N° 8 NOUVELLE FROMAGERIE DE VAUDES;65;N° 65 NOUVELLE FROMAGERIE DE VAUDES;;;;;;;;;1;0;1;;1;;;;;;12;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
Médical;Laboratoire;LATTICE MEDICAL;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80 rue du Dr Yersin;Loos;59120;09 73 79 84 12;https://www.eurasante.com/entreprises/lattice-medical/;50.60490393972481, 3.0270315942823336;;;;;;;;42;N° 42 LATTICE MEDICAL;65;N° 65 LATTICE MEDICAL;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;Contre qualité des pommes de terre;EUROCELP;";2022=1 ; 2021=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14 rue des près de Lyon;LA CHAPELLE-SAINT-LUC;10600;09 52 04 82 74;https://fr.linkedin.com/company/eurocelp;48.31406075898062, 4.02873994075064;;;;;;;;12;N° 12 EUROCELP;29;N° 29 EUROCELP;;;;;;;;;1;1;0;;;;;;;;10;5;0;0;1;0;0;0;0;0;0;1;0;0;0;0
Alimentaire;brasserie;C'EST DE LA BAL;";2022=1 ; 2021=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78 Rue Roger Salengro;Neuves-Maisons;54230;07 69 27 12 18;https://fr.linkedin.com/in/nadege-parmentier-584319208;48.6168082487408, 6.096208271443422;;;;;;;;12;N° 12 C'EST DE LA BAL;29;N° 29 C'EST DE LA BAL;;;;;;;;;1;1;0;0;0;0;0;0;0;0;10;5;0;0;1;0;0;0;0;0;0;1;0;0;0;0
Médical;Laboratoire;DYNALAB;"; 2023=1;2022=1 ; 2021=2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9 Rue Bernard Palissy;LA CHAPELLE-SAINT-LUC;10600;03 25 43 35 43;https://fr.linkedin.com/company/laboratoire-dynalab;48.3069560666371, 4.039610456093209;;;;;;isabelle.hild@dynalab.fr;;4;N° 4 DYNALAB;2;N° 2 DYNALAB;;;;;;;;1;1;2;0;0;0;0;0;0;0;0;21;16;0;0;1;0;0;0;0;0;1;2;0;0;0;0
Alimentaire;vin;Chassenay d'Arce;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11, rue du pressoir;VILLE sur ARCE;10110;03 25 38 30 70;https://chassenay.com/contact/;48.10658223787914, 4.445766861028202;;;;;;;;42;N° 42 Chassenay d'Arce;65;N° 65 Chassenay d'Arce;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;vin;Union Auboise (Champagne Devaux);"; 2021=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Domaine de Villeneuve BP17;Bar sur Seine;10110;03 25 38 30 65;http://www.champagne-devaux.fr/;48.094576200049396, 4.382040438161986;;;;;;;;42;N° 42 Union Auboise (Champagne Devaux);29;N° 29 Union Auboise (Champagne Devaux);;;;;;;;;0;1;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Alimentaire;boucherie industrielle;MOY PARK BEEF;"; 2021=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6 rue dis pins;FLEURY LES Aubrays;45400;02 38 70 90 90;https://fr.linkedin.com/company/moy-park-beef-orl%C3%A9ans;47.94555916427668, 1.9318395272488647;;;;;;;;42;N° 42 MOY PARK BEEF;29;N° 29 MOY PARK BEEF;;;;;;;;;0;1;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Alimentaire;boucherie industrielle;Saviel Jean Rozé;"; 2021=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4 Rue de Prague 
Parc du Grand Troyes";SAINTE-SAVINE;10300;03 25 45 19 30;https://fr.linkedin.com/company/sva-jean-roze;48.297253607371196, 4.011911606670133;;;;;;;;42;N° 42 Saviel Jean Rozé;29;N° 29 Saviel Jean Rozé;;;;;;;;;0;1;0;;;;;;;;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Alimentaire;fromagerie;FROMAGERIE de CHAMP sus Barse;"; 2021=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ferme du Champ Roy 3 grande rue;Champ sur Barse;10140;03 25 70 67 30;https://domaine-foret-orient.com/ferme-du-champ-roy/;48.239748219847165, 4.4132390153950825;;;;;;;;42;N° 42 FROMAGERIE de CHAMP sus Barse;29;N° 29 FROMAGERIE de CHAMP sus Barse;;;;;;;;;0;1;0;;;;;;;;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Alimentaire;cidre et boissons;ECLOR BOISSONS;"; 2021=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5 rue du Croc du Gré;Chaource;10210;03 25 40 11 01;https://fr.linkedin.com/company/eclor;48.05690204932341, 4.140379190284533;;;;;;;;42;N° 42 ECLOR BOISSONS;29;N° 29 ECLOR BOISSONS;;;;;;;;;0;1;0;;;;;;;;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Médical;Hôpital;CENTRE DE REEDUCATION PASTEUR;"; 2021=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5 Esplanade Lucien Péchart;Troyes;10000;03 25 43 78 84;https://fr.linkedin.com/in/crrf-pasteur-pasteur-084993150;48.30244724548061, 4.062274653126366;;;;;;;;42;N° 42 CENTRE DE REEDUCATION PASTEUR;29;N° 29 CENTRE DE REEDUCATION PASTEUR;;;;;;;;;0;1;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Alimentaire;plats cuisinés surgelés;PIERRON;"; 2021=2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32 Route D'Euville;Commercy;55200;03 29 91 07 92;http://www.pierron-commercy.com/;48.760389520224045, 5.60242101665896;;;;;;;;12;N° 12 PIERRON;8;N° 8 PIERRON;;;;;;;;;0;2;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;0;0;2;0;0;0;0
Alimentaire;Abattoir;Société Exploitation Abattoirs de Chaumont;"; 2021=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 Rue de l'Abattoir;Chaumont;52000;03 25 03 89 71;https://www.lafranceagricole.fr/actualites/elevage/haute-marne-unnouvelabattoirpour2023-1,1,2695094608.html;48.122253376491585, 5.151000379375074;;;;;;;;42;N° 42 Société Exploitation Abattoirs de Chaumont;29;N° 29 Société Exploitation Abattoirs de Chaumont;;;;;;;;;0;1;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Alimentaire;Abattoir;SICABA;                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 Av. des Tirverts;Pont-Sainte-Marie;10150;03 25 80 09 42;https://fr.kompass.com/c/s-i-c-a-b-a/fr0126279/;48.31549179494977, 4.084672859229383;;;;;;;;65;N° 65 SICABA;65;N° 65 SICABA;;;;;;;;;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;fruits surgelés;FRUITS ROUGES & CO;"; 2021=2 ; 2020=2 ; 2019=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 Rue Jean Bodin;Laon;02000;03 23 28 49 49;https://www.fruitsrougesandco.com/;49.57972380664785, 3.6535650844155403;;;;;;h.pierre@lesfruitsrouges.com;;3;N° 3 FRUITS ROUGES & CO;4;N° 4 FRUITS ROUGES & CO;;;;;;;;;0;2;2;1;0;0;0;0;0;0;22;14;0;0;0;2;0;0;0;0;0;2;1;0;0;0
Alimentaire;boissons en poudre;NESTLE;"; 2021=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11 Avenue Jean Jaurès;Challerange;08400;03 24 71 10 55;http://www.nestle.fr/;49.307704602490155, 4.747362973854435;;;;;;;;42;N° 42 NESTLE;29;N° 29 NESTLE;;;;;;;;;0;1;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Alimentaire;brasserie;BRASSERIE LARCHÉ;"; 2021=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89 Rue Bellocier;Sens;89100;03 86 65 19 89;https://www.brasserie-larche.fr/;48.203452368770066, 3.267762776392258;;;;;;;;42;N° 42 BRASSERIE LARCHÉ;29;N° 29 BRASSERIE LARCHÉ;;;;;;;;;0;1;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Alimentaire;andouillettes;AT France;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5 Avenue des Tirverts, ZI Écrevolles;Pont-Sainte-Marie;10150;03 25 70 42 50;https://gilbert-lemelle.fr/nos-specialites/plat-de-pays/veritable-andouillette-de-troyes-aaaaa/;48.31607075966144, 4.081159695265209;;;;;;;;8;N° 8 AT France;7;N° 7 AT France;;;;;;;;2;0;0;0;0;0;0;0;0;0;0;12;12;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Alimentaire;Analyses par histologie;Althisia;"; 2016=2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11 rue marie Curie;Troyes;10000;0325780178;https://www.althisia.com/;48.26942051078741, 4.074062330834542;;;;;;;;55;N° 55 Althisia;65;N° 65 Althisia;;;;;;;;;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Alimentaire;Prémix boulangerie;Millbäcker;                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Zone Industrielle La Fonderie;Torcy-le-petit;10700;03 25 37 79 37;https://www.millbaker.com/fr/;48.52691273469667, 4.186279116074224;;;;;;;;65;N° 65 Millbäcker;65;N° 65 Millbäcker;;;;;;;;;0;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;Fruits et Légumes;Ghisetti 1870;                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZA la Raccroche - Route d'Ormes;Le Chêne;10700;03 25 37 21 21;https://fr.linkedin.com/company/ghisetti-1870-france;48.552470414959565, 4.135104184934826;;;;;;vdorier@ghisetti.fr;;65;N° 65 Ghisetti 1870;65;N° 65 Ghisetti 1870;;;;;;;;;0;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;brasserie;Les brasseurs de Lorraine;"; 2020=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3 Rue du Bois le Prêtre;Pont-à-Mousson;54700;0383800264;http://www.brasseurs-lorraine.com/;48.906672602418595, 6.05042145610776;;;;;;;;55;N° 55 Les brasseurs de Lorraine;65;N° 65 Les brasseurs de Lorraine;;;;;;;;;0;0;1;;;;;;;;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Alimentaire;brasserie;Brasserie de Vauclair;"; 2020=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lieu-dit Vauclair;Giey-sur-Aujon;52210;0325010040;https://www.la-choue.com/;47.91193680532275, 5.067488399608844;;;;;;;;55;N° 55 Brasserie de Vauclair;65;N° 65 Brasserie de Vauclair;;;;;;;;;0;0;1;;;;;;;;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Alimentaire;Fruits et Légumes;Société Godeau et Fils;"; 2020=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;613 Rue du Pressoir Tonneau; Olivet;45160;0238690172;https://godeauetfils.fr/;47.860788828227264, 1.8949440253970478;;;;;;;;55;N° 55 Société Godeau et Fils;65;N° 65 Société Godeau et Fils;;;;;;;;;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Alimentaire;Biscuiterie;Biscuit Addict;"; 2020=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1+ avenue de la république;Chaumont;52000;0325019099;http://www.biscuitaddict.com/;48.104349717180455, 5.1435994388957855;;;;;;;;55;N° 55 Biscuit Addict;65;N° 65 Biscuit Addict;;;;;;;;;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Alimentaire;Fromagerie;FROMAGERIE de Mussy;"; 2020=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rte des Maisons; Chaource;10210;0325732435;http://www.fromageriedemussy.fr/;48.05239013113076, 4.137758503713722;;;;;;;;55;N° 55 FROMAGERIE de Mussy;65;N° 65 FROMAGERIE de Mussy;;;;;;;;;0;0;1;;;;;;;;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Alimentaire;Fruits et Légumes;Priméale France - Champagne;"; 2020=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rte d'Arcis;Méry-sur-Seine;10170;0325219980;https://www.primeale.fr/recrutement/?contrat=&secteur=&lieu=mery-sur-seine-10;48.513342554855186, 3.9066150138954288;;;;;;;;55;N° 55 Priméale France - Champagne;65;N° 65 Priméale France - Champagne;;;;;;;;;0;0;1;;;;;;;;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Cosmétique;produits cosmétiques;PREVOST LABORATORY CONCEPT;";2022=1      ; 2016=2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Z.A. de l'Ecotay;NOUVOITOU;35410;02 99 37 28 30;http://www.prevostlaboratoryconcept.com/;48.041325811620624, -1.5361219259639205;;;;;;;;13;N° 13 PREVOST LABORATORY CONCEPT;65;N° 65 PREVOST LABORATORY CONCEPT;;;;;;;;;1;0;0;0;0;0;2;0;0;0;9;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0
Alimentaire;Céréales;SCARA;"; 2023=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZI de Vilette sur Aube;Vilette sur Aube;10700;0325378105;https://www.scara.fr/;48.53562685807154, 4.126662698427371;;;;;;accueil@scara.fr;;23;N° 23 SCARA;18;N° 18 SCARA;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Alimentaire;Arômes;Fontarôme;"; 2023=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Z.I. du Vert Galant, 66-68 avenue du Château;Saint-Ouen l’Aumône;95310;0184038403;http://fontarome.fr/;49.05475313060089, 2.132478711964728;;;;;;;;23;N° 23 Fontarôme;18;N° 18 Fontarôme;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Médical;Hôpital;HÔPITAL MONT SAINT MARTIN;"; 2023=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 Rue Alfred LABBE;MONT SAINT MARTIN;54350;03 82 44 70 00;https://www.hopital-montsaintmartin.com/;49.53763654109537, 5.780671984958848;;;;;;anastassia.reznitchenko@groupe-sos.org;;23;N° 23 HÔPITAL MONT SAINT MARTIN;18;N° 18 HÔPITAL MONT SAINT MARTIN;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Alimentaire;Restauration collective en milieu hospitalier;SODEXO SANTE MEDICO SOCIAL;"; 2023=2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17 Rue Charles BALTET;Saint-Adré-les-Vergers;10120;03 25 79 60 27;https://www.elsan.care/fr/polyclinique-montier-la-celle;48.2851897696003, 4.057692050801187;;;;;;bruno.marthelot@sodexo.com;;8;N° 8 SODEXO SANTE MEDICO SOCIAL;7;N° 7 SODEXO SANTE MEDICO SOCIAL;;;;;;;;2;0;0;0;0;0;0;0;0;0;0;12;12;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Alimentaire;chocolatier confiseur;CÉMOI CONFISEUR;"; 2023=1;2022=1  ; 2020=1 ; 2019=2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10 Rue du Labourat ZI Les Ecrevolles - TS 40617;Troyes;10000; 03 25 45 86 67;https://www.cemoi.fr/;48.31435802827269, 4.077816098422007;;;;;;e.guerin@cemoi.fr;;2;N° 2 CÉMOI CONFISEUR;4;N° 4 CÉMOI CONFISEUR;;;;;;;;1;1;0;1;2;;;;;;;23;14;0;0;1;1;0;0;0;0;1;0;2;0;0;0
Alimentaire;chocolatier confiseur;Maison Caffet;"; 2020=1 ; 2019=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZI des, 3 avenue Tirverts, Rue des Ecrevolles;Pont-Sainte-Marie;10150;0325803838;https://fr.linkedin.com/company/sas-caffet-&-cie;48.31427047886522, 4.083095743333003;;;;;;;;14;N° 14 Maison Caffet;35;N° 35 Maison Caffet;;;;;;;;;0;0;1;1;;;;;;;8;4;0;0;0;1;0;0;0;0;0;0;1;0;0;0
Alimentaire;fromagerie;SAS Tilly;"; 2020=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24 Rte de Hellimer;Nelling;57670;0387016035;https://fr.linkedin.com/company/tilly57?original_referer=https%3A%2F%2Fsearch.lilo.org%2F%3Fq%3Dboulangerie%2Btilly;48.96869974593401, 6.865218895401549;;;;;;servicequalite@tilly.fr;;55;N° 55 SAS Tilly;65;N° 65 SAS Tilly;;;;;;;;;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Médical;Laboratoire;CHU de REIMS - Pôle Biologie - Labo Parasitologie;"; 2019=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45 Rue Cognacq Jay;Reims;51092;03 26 78 77 66;https://www.chu-reims.fr/offre-de-soins/prises-en-charge/service/pole-de-biologie-medicale-et-pathologie;49.2300758208083, 4.0194415654220546;;;;;;;;55;N° 55 CHU de REIMS - Pôle Biologie - Labo Parasitologie;35;N° 35 CHU de REIMS - Pôle Biologie - Labo Parasitologie;;;;;;;;;0;0;0;1;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0
